Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Status Cobrança
KF86;S301;313578;137520;30/04/2024;Não atende
M916;XA114;317766;125949;30/04/2024;Financiamento - Em Tratativa
M916;XA115;317766;126013;30/04/2024;Financiamento - Em Tratativa
M330;N08;318796;141868;30/04/2024;Não atende
M330;G01;318914;141973;30/04/2024;Promessa de pagamento
M330;E08;318972;142025;30/04/2024;Não atende
M330;C05;318994;142042;30/04/2024;Recado
K19X;W08;319028;142201;30/04/2024;Pago / Em dia
L40X;5C11;319103;142117;30/04/2024;Financiamento - Em Tratativa
K232;C1001;319168;142174;30/04/2024;Financiamento - Sem interesse
M916;TA123;319172;142175;30/04/2024;Financiamento - Em Tratativa
M330;I08;320612;143361;30/04/2024;Não atende
M192;U103;322482;144943;30/04/2024;Financiamento - Sem interesse
M522;21A17;322802;145199;30/04/2024;Sem acordo
M522;21A01;322803;145329;30/04/2024;Não atende
M330;O03;323550;146363;30/04/2024;Sem acordo
M330;O04;323550;145880;30/04/2024;Sem acordo
M632;Q0416;324018;146206;30/04/2024;Não atende
KZ22;X205;54047;181512;30/04/2024;Pago / Em dia
M522;15A06;347308;165346;30/04/2024;Em Negociação
KL26;QC801;51862;147639;30/04/2024;Pago / Em dia
KL26;QC804;51862;147622;30/04/2024;Pago / Em dia
KL26;QC802;51862;147638;30/04/2024;Pago / Em dia
KN06;BA502;73498;174851;30/04/2024;Pago / Em dia
M522;22A15;347430;122471;30/04/2024;Pago / Em dia
KG92;Q218;359027;172655;30/04/2024;Financiamento - Em Tratativa
K19X;Z01;359206;172786;30/04/2024;Bloqueio de cobrança Ausa
K872;B20;359064;172834;30/04/2024;Financiamento - Possui Interesse
M330;J11;359273;172901;30/04/2024;Não atende
KP66;QC1503;359541;177423;30/04/2024;Alega pagamento
M192;B212;359532;173129;30/04/2024;Não atende
M782;H111;359822;173143;30/04/2024;Financiamento - Em Tratativa
M782;E129;359863;173147;30/04/2024;Pago / Em dia
KF86;Z310;359950;175880;30/04/2024;Pago / Em dia
KT16;W425;360242;173364;30/04/2024;Não atende
KP72;T118;360460;173411;30/04/2024;Pago / Em dia
K19X;E24;315387;173437;30/04/2024;Não atende
M330;U25;360269;173441;30/04/2024;Não atende
KP72;B109;360201;173489;30/04/2024;Não atende
KG92;S204;360379;173526;30/04/2024;Pago / Em dia
KT16;S418;360433;173580;30/04/2024;Pago / Em dia
K19X;I05;360319;173592;30/04/2024;Pago / Em dia
KK22;W117;360486;173591;30/04/2024;Retorno
M782;C127;360576;173601;30/04/2024;Pago / Em dia
M782;F136;360577;173738;30/04/2024;Direcionado ao SAC - Duvidas
KP72;B114;360664;173730;30/04/2024;Promessa parcial
KP72;B115;360664;173729;30/04/2024;Promessa parcial
M782;K126;360697;173701;30/04/2024;Financiamento - Em Tratativa
KT16;F407;360869;173671;30/04/2024;Financiamento - Sem interesse
KT16;G423;360908;173736;30/04/2024;Não atende/Enviado whatsapp
M782;I130;360953;173773;30/04/2024;Pago / Em dia
M782;D109;360977;173764;30/04/2024;Em dia
KE42;A102;361164;173871;30/04/2024;Pago / Em dia
KT16;P416;361227;173864;30/04/2024;Não atende
KJ82;Q0808;361061;179962;30/04/2024;Financiamento - Em Tratativa
L220;U03;361419;174188;30/04/2024;Financiamento - Em Tratativa
LA36;Q407;362132;178258;30/04/2024;Promessa de pagamento
KP72;D105;361333;174692;30/04/2024;Retorno
M330;K10;327043;148643;30/04/2024;Sem acordo
M522;6A01;328953;150215;30/04/2024;Retorno
M372;S02;331354;155080;30/04/2024;Não atende
M372;S01;331354;155078;30/04/2024;Não atende
M372;L06;331354;162983;30/04/2024;Não atende
M330;V03;333656;154211;30/04/2024;Não atende
KG92;K227;333816;154337;30/04/2024;Não atende
M322;Q0713;334096;154597;30/04/2024;Financiamento bancario
M632;Q1914;334107;154603;30/04/2024;Financiamento - Em Tratativa
KF86;MA307;334248;154722;30/04/2024;Não atende
KF86;FA311;335805;155958;30/04/2024;Não atende
LD16;X507;338046;183496;30/04/2024;Promessa de pagamento
M522;13A07;340488;159826;30/04/2024;Financiamento - Em Tratativa
M322;Q0709;343505;162247;30/04/2024;Pago / Em dia
KN06;B503;344189;162931;30/04/2024;Financiamento - Não atende
KN06;G510;344230;162894;30/04/2024;Não atende
LA36;K403;344400;177956;30/04/2024;Pago / Em dia
LA36;K402;344400;177796;30/04/2024;Pago / Em dia
KN06;K506;344440;163106;30/04/2024;Pago / Em dia
KF86;KA311;344501;163160;30/04/2024;Financiamento bancario
KN06;H521;344511;163171;30/04/2024;Promessa de pagamento
K19X;M03;344538;163181;30/04/2024;Não atende
M692;N13;344816;163403;30/04/2024;Promessa de pagamento
M330;T16;344823;163386;30/04/2024;Ação judicial
K872;B14;344826;163416;30/04/2024;Financiamento - Em Tratativa
M692;Q04;347635;165584;30/04/2024;Ação judicial
LB62;R212;347837;181794;30/04/2024;Pago / Em dia
M330;U03;348010;165840;30/04/2024;Não atende
