Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Score
KD26;L217;299103;126328;01/04/2024;Não - <60 dias
KD26;L218;426861;182683;01/04/2024;Não - <60 dias
KD26;L225;356484;176788;01/04/2024;Sim
KD26;M216;298870;125190;01/04/2024;Não - <60 dias
KD26;M223;299729;132040;01/04/2024;Sim
KD26;M226;345350;163785;01/04/2024;Sim
KD26;M227;407657;177546;01/04/2024;Não - <60 dias
KD26;N206;407445;179435;01/04/2024;Não - <60 dias
KD26;N208;424106;126117;01/04/2024;Não - <60 dias
KD26;N216;299729;125960;01/04/2024;Não - Em Processamento
KD26;N222;351116;167883;01/04/2024;Não - <60 dias
KD26;N223;359997;173159;01/04/2024;Não - <60 dias
KD26;N237;344512;163210;01/04/2024;Não - <60 dias
KD26;N240;426488;182488;01/04/2024;Sim
KD26;O210;298827;125161;01/04/2024;Sim
KD26;P201;386210;175512;01/04/2024;Não - <60 dias
KD26;P207;423034;170641;01/04/2024;Não - <60 dias
KD26;P208;349622;166908;01/04/2024;Não - <60 dias
KD26;P212;349832;167034;01/04/2024;Não - <60 dias
KD26;P221;429484;158787;01/04/2024;Não - <60 dias
KD26;P222;299729;132039;01/04/2024;Sim
KD26;P225;407458;126725;01/04/2024;Não - <60 dias
KD26;Q201;339437;158956;01/04/2024;Sim
KD26;Q209;298074;124601;01/04/2024;Não - >5Anos
KD26;Q214;360833;176410;01/04/2024;Não - <60 dias
KD26;Q224;352356;168728;01/04/2024;Não - <60 dias
KD26;R207;298649;125011;01/04/2024;Não - <60 dias
KD26;S213;348761;166371;01/04/2024;Não - <60 dias
KD26;S216;299938;126152;01/04/2024;Não - <60 dias
KD26;S221;430374;176970;01/04/2024;Não - <60 dias
KD26;T213;391758;177085;01/04/2024;Não - <60 dias
KD26;T219;348341;166079;01/04/2024;Não - <60 dias
KD26;T224;299755;126360;01/04/2024;Sim
KD26;U215;298574;124935;01/04/2024;Não - <60 dias
KD26;V205;406865;179085;01/04/2024;Não - <60 dias
KD26;V224;349567;166884;01/04/2024;Não - <60 dias
KD26;W202;404366;178764;01/04/2024;Não - <60 dias
KD26;W205;344615;163240;01/04/2024;Não - <60 dias
KD26;W216;320488;143271;01/04/2024;Não - <60 dias
KD26;X201;300596;126698;01/04/2024;Não - <60 dias
KD26;X202;298847;125168;01/04/2024;Não - <60 dias
KD26;X203;426515;182556;01/04/2024;Não - <60 dias
KD26;X213;361606;174084;01/04/2024;Não - <60 dias
KD26;X217;403135;177478;01/04/2024;Não - <60 dias
KD26;Z216;360295;173397;01/04/2024;Não - <60 dias
KD26;Z217;389921;176847;01/04/2024;Não - Registro Ar - Endereco Insuficiente
KD26;Z218;389921;176849;01/04/2024;Não - <60 dias
KD26;Z219;350275;162280;01/04/2024;Não - <60 dias
KD82;C01;430386;183745;01/04/2024;Não - <60 dias
KD82;C0101;391249;177026;01/04/2024;Não - <60 dias
KD82;C0102;355516;177461;01/04/2024;Não - <60 dias
KD82;C0103;355516;176373;01/04/2024;Sim
KD82;C02;387865;177485;01/04/2024;Não - <60 dias
KD82;C03;387815;176763;01/04/2024;Sim
KD82;C04;388103;176339;01/04/2024;Não - <60 dias
KD82;C06;406643;178974;01/04/2024;Não - <60 dias
KD82;C07;407700;183898;01/04/2024;Não - <60 dias
