Considerar?;Cód. Cliente;Tipo da Ação;Data Citação;Status da Ação;Tipo da Ação;Data do Encerramento;Data encerramento maior que citação;Localizado;Qtde. de Ações por Cliente;Ordem de Priorização
1;79901;MULTA CONTRATUAL POR ATRASO;30/11/2021;ATIVO;CÍVEL;;0;1;3;15
1;79901;MULTA CONTRATUAL POR ATRASO;30/06/2022;ATIVO;CÍVEL;;0;1;3;15
1;79903;MULTA CONTRATUAL POR ATRASO;30/04/2022;ATIVO;CÍVEL;;0;1;1;15
1;79911;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;79919;MULTA CONTRATUAL POR ATRASO;31/10/2013;ATIVO;CÍVEL;;0;1;1;15
1;79920;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;79923;MULTA CONTRATUAL POR ATRASO;31/12/2017;ATIVO;CÍVEL;;0;1;1;15
1;79925;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;79926;MULTA CONTRATUAL POR ATRASO;30/09/2013;ATIVO;CÍVEL;;0;1;1;15
1;79936;MULTA CONTRATUAL POR ATRASO;31/07/2022;ATIVO;CÍVEL;;0;1;1;15
1;79946;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;79947;REVISÃO CONTRATUAL;28/02/2013;ATIVO;CÍVEL;;0;1;1;6
1;79949;MULTA CONTRATUAL POR ATRASO;30/06/2015;ATIVO;CÍVEL;;0;1;2;15
1;79949;MULTA CONTRATUAL POR ATRASO;28/02/2019;ATIVO;CÍVEL;;0;1;2;15
1;79951;MULTA CONTRATUAL;31/03/2013;ATIVO;CÍVEL;;0;1;1;15
1;79956;MULTA CONTRATUAL POR ATRASO;31/07/2021;ATIVO;CÍVEL;;0;1;1;15
1;79958;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;79961;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
