Divisao;Unidade;Código Cliente;Projeto Financeiro
LA62;Q0808;408220;180434
LA62;Q0914;408272;179876
LA62;Q1005;408227;180416
LA62;Q1008;408287;179873
LA62;Q1013;408239;180024
LA62;Q1101;408322;179882
LA62;Q1112;408212;179888
LA62;Q1120;408268;179939
LA62;Q1203;408806;180778
LA62;Q1404;408236;179847
LA62;Q1501;408282;179860
LA62;Q1512;409027;180436
LA62;Q1513;409024;180494
LA62;Q1514;408275;179940
LA62;Q1803;408191;179858
KE82;Q0107;408632;180331
KE82;Q0108;408632;180332
KE82;Q0221;408498;180274
KE82;Q0308;408715;179976
KE82;Q0309;408715;179975
KE82;Q0310;408713;180032
KE82;Q0315;409106;180110
KE82;Q0518;409202;180393
KE82;Q0704;409135;180364
KE82;Q0919;409009;180239
KE82;Q0920;409009;180235
KE82;Q0936;408760;180093
KE82;Q1122;409010;180086
KE82;Q1142;409003;180179
KE82;Q1222;408984;180231
KE82;Q1225;408991;180184
KE82;Q1226;408991;180183
KE82;Q1227;408995;180238
KE82;Q1228;408996;180182
KE82;Q1229;408996;180181
KE82;Q1230;408996;180201
KE82;Q1235;409000;180090
KE82;Q1236;409000;180089
KE82;Q1237;409000;180088
KE82;Q1238;409000;180087
KE82;Q1316;409003;180180
KE82;Q1409;408679;180122
KE82;Q1413;408624;180003
KE82;Q1414;408624;180002
KE82;Q1539;409012;180222
KE82;Q1540;409012;180223
LD16;A507;428181;183289
LD16;A509;427589;183008
LD16;J504;169598;183243
LD16;J505;169598;183244
LD16;M529;429395;183403
LD16;N508;427222;182874
LD16;P503;426972;182782
LD16;T516;427400;182940
LD16;U501;429649;183554
LD16;W510;418296;180986
LD16;X527;427164;182811
LB62;L203;424545;181827
LE56;MU0102;359029;182873
LE56;MU0110;359029;182872
LE56;MU0308;427462;182980
KE82;Q0620;408798;180022
K01X;F506;428274;179793
K02X;Q1230;74596;11658
K03X;D106;40300;RI646727
K76X;C324;225107;9366
K07X;H172;349156;166600
K12X;1V13;50511;182440
K12X;2J11;174951;RI649688
K12X;2AA11;51777;RI649695
L33X;Q707;159752;23374
KF02;C319;361504;179843
K242;J03;305160;130527
K242;J09;304297;129777
K242;K16;306427;131568
K242;L01;306427;131570
K242;Q09;228148;130007
K242;Q22;345053;164678
K242;R12;304358;129824
K242;R20;304625;130029
K242;R22;304674;130080
K242;U07;304630;130035
K242;U17;304630;130034
K242;V10;305160;130528
K242;V26;305708;130978
K242;V27;305708;131181
K242;V36;305708;130980
K242;V37;305708;131054
K242;W08;304676;130081
K242;X23;43988;130094
K242;AA14;304322;129793
K242;AA15;304322;129794
K242;AB17;305517;130826
K242;AB18;305517;130829
K242;AC08;304138;129650
K242;AE39;306658;131771
KB82;B429;406066;178680
KB82;L407;348261;166028
KB82;L409;298145;124645
K31X;S444;80316;15078
K33X;J101;407900;179710
K342;A105;358090;172192
K342;C104;215999;61838
K342;C105;217906;63574
K342;D110;66328;61908
K342;H105;307365;169976
K342;K118;237750;171613
K342;L114;348410;174630
K342;U119;362173;179431
K342;U120;362173;179432
K342;A205;215999;62065
K342;E213;215736;159717
K342;H204;216488;170294
K342;O203;360786;170671
K342;O204;222313;62108
K342;S203;357885;172114
K342;T203;237750;174563
K342;W222;215298;62229
K342;AC206;215879;61978
K342;AC207;215879;61980
K342;C0206;215766;151354
K382;A07;328964;150226
K382;E15;352943;169146
K382;F11;353049;169205
K382;F17;352660;168873
K382;M02;352878;169163
K382;Q08;406680;179568
K382;T09;344927;163710
K382;U09;349252;166709
K382;U10;349252;166710
K382;AA09;423888;181482
K382;AB17;358640;172504
K382;AD06;172720;172501
K59X;H209;183280;38172
K672;B20;424263;181723
K672;P13;408107;179808
K73X;K04;426761;182632
K73X;U05;344926;163471
L05X;AF06;346004;164287
L302;F02;425992;182194
L302;I16;359081;172677
L302;N23;351187;167891
