Divisão;Unidade;Código Cliente;Projeto Financeiro;Securitizadora; % AUSA ; % Parceiro ;% Sócio;Mês base;Banco Emissor
M512;I101;313796;137709;FIDC;100;0;0;01/04/2024;Bradesco
M512;C114;282800;112745;FIDC;100;0;0;01/04/2024;Bradesco
M612;E127;405918;103543;FIDC;73,8;26,2;0;01/04/2024;Bradesco
M612;K105;270048;103236;FIDC;73,8;26,2;0;01/04/2024;Bradesco
M612;M122;354455;170032;FIDC;73,8;26,2;0;01/04/2024;Bradesco
M612;W105;12266;163562;FIDC;73,8;26,2;0;01/04/2024;Bradesco
M612;B108;356077;170734;FIDC;73,8;26,2;0;01/04/2024;Bradesco
M692;AI06;349299;166823;FIDC;87,5;12,5;0;01/04/2024;Bradesco
KN06;A513;348158;165949;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;AA509;349176;166608;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;B503;344189;162931;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;B504;344318;162987;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;B505;344339;163012;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;B509;171617;163225;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;B514;347813;165711;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;C504;344208;162867;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;C505;344208;162870;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;C517;344221;162882;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;D505;425946;165738;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;F504;347827;165720;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;F517;312049;162874;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;G502;345022;163527;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;G510;344230;162894;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;H504;344686;163309;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;H516;344232;162896;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;H521;344511;163171;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;I508;344265;162927;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;I509;344219;162879;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;I512;344234;162898;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;K502;430921;165997;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;L508;406786;167354;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;M514;344249;162911;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;M525;350569;167443;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;M528;347942;165799;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;M529;347185;165242;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;M530;347332;165382;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KN06;N502;348369;166098;FIDC;58,71;41,29;0;01/04/2024;Bradesco
